"filename", "language", "JSON", "TypeScript", "CSS", "HTML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\users-manager\users-manager.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\users-manager\users-manager.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\app-routing.module.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 3, 36
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\app.component.html", "HTML", 0, 0, 0, 4, 0, 0, 0, 3, 7
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\app.component.spec.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 5, 36
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\app.component.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\app.module.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 8, 77
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\core\landing\landing.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\core\landing\landing.component.html", "HTML", 0, 0, 0, 5, 0, 0, 0, 4, 9
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\core\landing\landing.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\core\landing\landing.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\admin\admin.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\admin\admin.component.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 13
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\admin\admin.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\admin\admin.component.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 10, 45
